1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.00246,1
1.00246,0
1.02782,1
1.02782,0
1.02806,1
1.02806,0
1.02829,1
1.02829,0
1.02852,1
1.02852,0
1.02875,1
1.02875,0
1.02898,1
1.02898,0
1.02922,1
1.02922,0
1.02945,1
1.02945,0
1.02968,1
1.02968,0
1.02991,1
1.02991,0
1.03235,1
1.03235,0
1.03258,1
1.03258,0
1.03282,1
1.03282,0
1.03305,1
1.03305,0
1.03328,1
1.03328,0
1.03351,1
1.03351,0
1.03374,1
1.03374,0
1.03398,1
1.03398,0
1.03421,1
1.03421,0
1.03444,1
1.03444,0
1.03688,1
1.03688,0
1.03711,1
1.03711,0
1.03734,1
1.03734,0
1.03758,1
1.03758,0
1.03781,1
1.03781,0
1.03804,1
1.03804,0
1.03827,1
1.03827,0
1.0385,1
1.0385,0
1.03874,1
1.03874,0
1.03897,1
1.03897,0
1.04141,1
1.04141,0
1.04164,1
1.04164,0
1.04187,1
1.04187,0
1.0421,1
1.0421,0
1.04234,1
1.04234,0
1.04257,1
1.04257,0
1.0428,1
1.0428,0
1.04303,1
1.04303,0
1.04326,1
1.04326,0
1.0435,1
1.0435,0
1.04594,1
1.04594,0
1.04617,1
1.04617,0
1.0464,1
1.0464,0
1.04663,1
1.04663,0
1.04686,1
1.04686,0
1.0471,1
1.0471,0
1.04733,1
1.04733,0
1.04756,1
1.04756,0
1.04779,1
1.04779,0
1.04802,1
1.04802,0
1.05046,1
1.05046,0
1.0507,1
1.0507,0
1.05093,1
1.05093,0
1.05116,1
1.05116,0
1.05139,1
1.05139,0
1.05162,1
1.05162,0
1.05186,1
1.05186,0
1.05209,1
1.05209,0
1.05232,1
1.05232,0
1.05255,1
1.05255,0
1.05499,1
1.05499,0
1.05522,1
1.05522,0
1.05546,1
1.05546,0
1.05569,1
1.05569,0
1.05592,1
1.05592,0
1.05615,1
1.05615,0
1.05638,1
1.05638,0
1.05662,1
1.05662,0
1.05685,1
1.05685,0
1.05708,1
1.05708,0
1.05952,1
1.05952,0
1.05975,1
1.05975,0
1.05998,1
1.05998,0
1.06022,1
1.06022,0
1.06045,1
1.06045,0
1.06068,1
1.06068,0
1.06091,1
1.06091,0
1.06114,1
1.06114,0
1.06138,1
1.06138,0
1.06161,1
1.06161,0
1.06405,1
1.06405,0
1.06428,1
1.06428,0
1.06451,1
1.06451,0
